sentence	target_index	cluster	original_word
without this intrinsic source of value these metal never could have acquire their secondary or monetary value	15	0	monetary
-- monetary difficulty -- detention on a bridge -- a canadian homestead -- life in the clearing -- the bush on fire -- a word_nn on farming -- the bee and its produce -- eccentricity of mr.- haldimands -- a ride on a troop-horse -- scotch patriotism -- an english church -- the servant nuisance -- richard cobden	1	0	monetary
to determine what it be with exactness be often a question of nicety and difficulty from the different monetary system that prevail in different country	18	0	monetary
they be also make thereby better acquaint with the pecuniary credit of individual and of the precise monetary condition of the community and regulate their dealing and issue accordingly	17	0	monetary
it commence with a definition of money an enumeration of the ground on which gold and silver commend themselves for monetary use and the principle on which price regulate themselves in the ratio of the relative supply of money and of the commodity for which it be exchange	20	0	monetary
we forget not that while we write england be approach or pass a crisis bear some resemblance to our own recent experience though evldently less extensive and severe and that the other commercial nation show symptom of derangement in their monetary relation	40	0	monetary
the president be expect to make a speech on monetary problem in the near future	9	0	monetary
the feed chairman_nn also talk about the importance of have an independent central bank insulate from political pressure that may ignore the long-run effect of monetary policy	25	0	monetary
for similar reason sir alan also oppose join the european monetary system	10	0	monetary
attempt by the industrialized country to avoid those real income decline through expansionary monetary policy or domestic price control simply increase inflationary pressure and delay the require fundamental adjustment to the new cost of energy	13	0	monetary
this twenty-first-century monetary plan will create stable money and strong growth with low interest rate	2	0	monetary
dollar standard with the united state as monarch of the world monetary system	11	0	monetary
the german parliament announce that it be retain the right to decide if and when the deutschemark would be abandon in favor of a common currency while the actual prospect of economic union and the political union for which it be intend to be the curtain-raiser have be badly derail by last year 's collapse of the exchange rate mechanism erm and the european monetary system ems	64	0	monetary
in a widely remember remark about u.s.- international trade and monetary goal	10	0	monetary
of the international monetary fund the japanese be require to stabilize the value of the yen only in their domestic market	3	0	monetary
the federal republic 's leadership in try to coordinate european monetary policy and its support of joint european community policy reinforce common european military defense effort at the same time that they often conflict with u.s.- priority	10	0	monetary
pany and the monetary limit the size of the company	3	0	monetary
the american government must do something to restore confidence if the entireworld monetary system be not to break down in a way which would make what happen in 1971 look like a sunday school picnic	12	0	monetary
if his monetary need go high than what these could provide during any give week there be always someone who need his lawn mow	2	0	monetary
if more money be not make available to rescue the debtor country the international monetary system could have collapse	14	0	monetary
mr.- hurley a retire home builder from birmingham <nul> would start his term in the white house by eliminate the federal reserve system the international monetary fund and the united nation	25	0	monetary
what be your estimate of the monetary damage	6	0	monetary
the agreement make there set up the international monetary fund and the world bank to help stabilize currency	8	0	monetary
the u.s.- some analyst say could also decide to support the dollar rather than gold as at present without necessarily break international monetary agreement	22	0	monetary
one recommendation will be to create new international monetary reserve to finance development in third world country	8	0	monetary
our attitude have be that the important thing about monetary policy be whet happen to the quantity of money and not what happen to interest rate that change in the quantity of money have play an important role in produce inflation depression and recession and that the appropriate policy for a country to adopt be a steady rate of increase in the quantity of money friedman say in his 1974 speech to the university 's trustee	9	0	monetary
the financial market take this drop as a sign that the federal reserve board which influence the fund rate through the amount of money it supply the banking system be ease monetary policy and would allow the cost of credit to fall	31	0	monetary
// the monetary system link the currency of nine european nation and set limit on exchange rate among them	2	0	monetary
but west german banker suspect that lobbying by japanese and u.s.- bank and monetary authority also play a role	13	0	monetary
provide one or several of the above essential item they should expect and receive an equitable monetary return for the item they provide	16	0	monetary
the federal reserve bank of chicago hold a symposium jointly sponsor with the international monetary fund imf on the cause and consequence of the asian crisis	14	0	monetary
perhaps the major problem be monetary output on each farm	5	0	monetary
it would sharply increase the wealth of countless foreign gold-holders enlarge the money supply in many nation relieve the u.s.- and other land_nn from have to adopt restrictive measure such as boost tax and trim governmental spending to hold on to dwindling monetary reserve	42	0	monetary
i can n't see some italian nobleman sock away great chunk of actual monetary fortune to look after his palazzo or whatever it be he say	13	0	monetary
belgium and switzerland opt instead for merely increase the borrowing right that 103 nation already have with the international monetary fund	19	0	monetary
the problem of how to move to a more stable monetary reserve medium without inflict unfair treatment on nation that be today hold dollar and gold will require difficult negotiation	10	0	monetary
but the protectionist rule which have the effect of add to the price of non-american capital good above and beyond the increase bring about by the surcharge and monetary change be already fiercely resent abroad and with good reason	28	0	monetary
land_nn speculation be a byproduct of korea 's clumsy monetary control	9	0	monetary
we be go into the bad global recession for sure that that we have ever see or see since world war ii say simon johnson an economist at the massachusetts institute of technology and former chief economist at the international monetary fund	40	0	monetary
note that the new monetary equilibrium could only be maintain if all <nul> try respect the obligation and constraint of the adlustment process	4	0	monetary
the occasion be the 37th annual meeting of the international monetary fund and the world bank in toronto and while none of the moneyman face the immediate prospect of hang a few must have wonder whether they be in for a bit_nn of financial drawing and quarter	10	0	monetary
one mistake he will not repeat be confront the united state and the international monetary fund	14	0	monetary
